,MentalHealth,DevType,YearlySalary
834,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Cloud infrastructure engineer,200000
838,None of the above,"Developer, full-stack",110000
839,None of the above,"Developer, back-end;Developer, QA or test;Cloud infrastructure engineer",150000
841,None of the above,"Developer, full-stack;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",960000
842,None of the above,"Developer, full-stack",147000
843,Depression;Anxiety,"Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",165000
845,None of the above,"Developer, full-stack",34000
846,None of the above,"Developer, full-stack;Database administrator;Project manager",1500000
852,None of the above,"Engineer, data;Developer, back-end;Cloud infrastructure engineer",444000
854,Anxiety,"Developer, back-end;Cloud infrastructure engineer",140000
855,Anxiety,"Developer, full-stack;Developer, desktop or enterprise applications",116000
857,None of the above,"Developer, full-stack",155000
858,Prefer not to say,"Developer, back-end;Engineering manager;DevOps specialist;Cloud infrastructure engineer",175000
860,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",135000
862,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",130000
864,None of the above,"Developer, full-stack",120000
865,None of the above,"Developer, front-end",3360000
869,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, desktop or enterprise applications;Developer, game or graphics",744000
870,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",61000
871,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Database administrator;Project manager;Product manager;System administrator",178000
874,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist;System administrator",1800000
877,None of the above,"Engineer, site reliability;Developer, back-end;System administrator",100000
878,None of the above,"Developer, full-stack",160000
879,None of the above,"Developer, full-stack",89000
881,None of the above,"Developer, full-stack",50000
882,None of the above,"Engineer, site reliability;Developer, back-end;DevOps specialist",185000
883,Anxiety,"Developer, back-end",80000
884,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, desktop or enterprise applications;Academic researcher;System administrator",90000
887,None of the above,"Developer, full-stack",28800
891,None of the above,"Developer, back-end",320000
892,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",62500
895,Depression;Anxiety,"Developer, full-stack;Developer, back-end",105000
896,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",960000
902,None of the above,"Developer, back-end",145000
908,None of the above,"Developer, full-stack;Engineering manager",180000
917,None of the above,"Developer, back-end",650000
923,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Cloud infrastructure engineer",55000
925,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",128750
926,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",32000
927,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;Developer, QA or test",170000
928,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Blockchain",2500
930,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",80000
935,None of the above,"Developer, front-end;Developer, full-stack",36500
939,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Senior Executive (C-Suite, VP, etc.)",170000
940,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Educator",648000
943,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",100000
944,None of the above,"Developer, back-end",1000000
950,Prefer not to say,"Developer, back-end",165000
951,None of the above,"Developer, full-stack",540000
954,None of the above,"Developer, full-stack;Developer, back-end",130000
955,None of the above,Academic researcher,130000
958,None of the above,"Developer, full-stack",140000
963,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, back-end",250000
966,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Developer, back-end;Developer, QA or test;DevOps specialist;Cloud infrastructure engineer;Security professional",95000
968,None of the above,"Developer, full-stack;Database administrator;DevOps specialist;System administrator",31510
970,None of the above,"Developer, full-stack",81000
971,None of the above,"Developer, back-end;Other;Scientist;Blockchain",80000
976,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",105000
977,Depression;Anxiety,"Developer, full-stack;Designer;Senior Executive (C-Suite, VP, etc.)",30000
979,Depression,"Developer, full-stack",175000
981,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Other",78000
984,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end",120000
987,None of the above,"Developer, front-end;Engineering manager",195000
988,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Blockchain",65000
992,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end;Engineering manager;DevOps specialist;Developer, embedded applications or devices;Cloud infrastructure engineer;Security professional",2208000
993,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer",480000
994,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;DevOps specialist;Developer, embedded applications or devices;Cloud infrastructure engineer;System administrator;Security professional",480000
995,None of the above,"Developer, full-stack",160000
997,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer;Security professional",181000
998,Prefer not to say,"Developer, back-end",145000
1003,None of the above,"Developer, back-end",80000
1004,None of the above,"Developer, back-end",86400
1005,None of the above,"Developer, back-end",82000
1006,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",180000
1009,None of the above,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Academic researcher;DevOps specialist;Cloud infrastructure engineer;Data or business analyst;Scientist;System administrator",230000
1010,None of the above,"Developer, front-end;Developer, full-stack;Security professional",564000
1013,None of the above,"Developer, back-end;Developer, game or graphics",520000
1015,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Other;Developer, embedded applications or devices",200000
1016,None of the above,"Developer, desktop or enterprise applications;Project manager;System administrator",120000
1021,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Engineering manager",204000
1022,None of the above,"Developer, full-stack;Engineering manager",105000
1023,None of the above,"Engineer, data;Developer, full-stack",71500
1024,None of the above,"Engineer, data;Developer, back-end;Cloud infrastructure engineer",84000
1025,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional",744000
1028,None of the above,"Engineer, data;Academic researcher;Scientist",236000
1030,Anxiety,"Developer, back-end",150000
1036,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist;Designer",112000
